date,index_value,daily_return
2020-12-11,1647.4100212615,-0.0033638029
2020-12-14,1654.3310200314,0.0042011392
2020-12-15,1671.4609842763,0.0103546171
2020-12-16,1683.0335761880,0.0069236387
2020-12-17,1697.3656581249,0.0085156245
2020-12-18,1712.9031398658,0.0091538801
2020-12-21,1711.7779460077,-0.0006568929
2020-12-22,1720.7160585857,0.0052215374
2020-12-23,1701.1029168535,-0.0113982441
2020-12-24,1710.5175122413,0.0055344067
2020-12-28,1700.9474762565,-0.0055948191
2020-12-29,1688.8889654038,-0.0070892905
2020-12-30,1703.2776613490,0.0085196222
2020-12-31,1702.2054065567,-0.0006295244
2021-01-04,1680.7166665947,-0.0126240581
2021-01-05,1700.3863761682,0.0117031680
2021-01-06,1679.1229316311,-0.0125050664
2021-01-07,1742.1545090192,0.0375383935
2021-01-08,1747.5998530958,0.0031256379
2021-01-11,1751.1342867318,0.0020224502
2021-01-12,1761.1443068343,0.0057163064
2021-01-13,1753.7025109128,-0.0042255458
2021-01-14,1770.4714578012,0.0095620248
2021-01-15,1761.1177316284,-0.0052831838
2021-01-19,1798.8447982411,0.0214222286
2021-01-20,1814.3589641585,0.0086245161
2021-01-21,1821.9213941348,0.0041681002
2021-01-22,1811.3559672095,-0.0057990575
2021-01-25,1819.3442434469,0.0044101084
2021-01-26,1801.2884431956,-0.0099243452
2021-01-27,1745.4249501352,-0.0310130747
2021-01-28,1770.2040977819,0.0141966274
2021-01-29,1745.2328233444,-0.0141064380
2021-02-01,1790.2521229674,0.0257955838
2021-02-02,1825.0044578582,0.0194119780
2021-02-03,1809.5139231990,-0.0084879435
2021-02-04,1830.3489666318,0.0115141659
2021-02-05,1833.4608155409,0.0017001397
2021-02-08,1867.7535677701,0.0187038370
2021-02-09,1871.7956611868,0.0021641471
2021-02-10,1871.0479281493,-0.0003994736
2021-02-11,1902.7710169375,0.0169547174
2021-02-12,1913.6203239912,0.0057018459
2021-02-16,1901.9208293899,-0.0061138014
2021-02-17,1877.5014782199,-0.0128393100
2021-02-18,1867.1950923260,-0.0054894156
2021-02-19,1879.2695590496,0.0064666337
2021-02-22,1826.1828135056,-0.0282486061
2021-02-23,1816.4381345254,-0.0053360917
2021-02-24,1838.0990173194,0.0119249218
2021-02-25,1768.7587531030,-0.0377239004
2021-02-26,1793.9743040845,0.0142560713
2021-03-01,1841.4768607696,0.0264789504
2021-03-02,1802.7952747514,-0.0210057410
2021-03-03,1748.4039046140,-0.0301705751
2021-03-04,1688.1759451121,-0.0344473948
2021-03-05,1712.7866278751,0.0145782688
2021-03-08,1653.0089340508,-0.0349008410
2021-03-09,1735.6587813659,0.0499996374
2021-03-10,1721.8323439829,-0.0079661034
2021-03-11,1777.5897653188,0.0323826077
2021-03-12,1761.1916835375,-0.0092248966
2021-03-15,1786.4225632093,0.0143260270
2021-03-16,1786.8834814938,0.0002580119
2021-03-17,1799.9039129990,0.0072866707
2021-03-18,1734.8558044234,-0.0361397673
2021-03-19,1750.5150046897,0.0090262258
2021-03-22,1781.5119073053,0.0177073047
2021-03-23,1757.6567769473,-0.0133903850
2021-03-24,1731.4688498835,-0.0148993406
2021-03-25,1734.6694939185,0.0018485138
2021-03-26,1796.2323827895,0.0354896936
2021-03-29,1778.8012446809,-0.0097042778
2021-03-30,1771.3303052525,-0.0041999855
2021-03-31,1815.4570597886,0.0249116466
2021-04-01,1867.8865669718,0.0288795083
2021-04-05,1890.2211710089,0.0119571522
2021-04-06,1889.6522573033,-0.0003009773
2021-04-07,1887.3594894735,-0.0012133279
2021-04-08,1910.9811478855,0.0125157176
2021-04-09,1910.7042953738,-0.0001448745
2021-04-12,1907.8613731106,-0.0014878923
2021-04-13,1929.3866475159,0.0112824101
2021-04-14,1905.3141109423,-0.0124767820
2021-04-15,1942.9412632501,0.0197485297
2021-04-16,1935.6935336968,-0.0037302875
2021-04-19,1908.5596412019,-0.0140176593
2021-04-20,1885.5833625844,-0.0120385437
2021-04-21,1913.0217130632,0.0145516507
2021-04-22,1887.5548277717,-0.0133123870
2021-04-23,1926.6090862382,0.0206903969
2021-04-26,1949.6772507560,0.0119734536
2021-04-27,1943.0729034868,-0.0033874054
2021-04-28,1929.2179303073,-0.0071304443
2021-04-29,1932.9798613572,0.0019499772
2021-04-30,1904.6049883977,-0.0146793423
2021-05-03,1885.5277275015,-0.0100163871
2021-05-04,1854.9748273474,-0.0162038986
2021-05-05,1856.2890391110,0.0007084796
2021-05-06,1851.8499931328,-0.0023913549
2021-05-07,1878.8746887340,0.0145933503
2021-05-10,1825.4271189061,-0.0284465857
2021-05-11,1831.4647122737,0.0033074963
2021-05-12,1770.5959536700,-0.0332350158
2021-05-13,1785.4249520943,0.0083751453
2021-05-14,1846.2471761750,0.0340659651
2021-05-17,1833.6890847198,-0.0068019557
2021-05-18,1834.1651731671,0.0002596342
2021-05-19,1846.1381854061,0.0065277721
2021-05-20,1888.4934803181,0.0229426460
2021-05-21,1887.3338219169,-0.0006140653
2021-05-24,1923.7187286618,0.0192784691
2021-05-25,1930.1440235018,0.0033400386
2021-05-26,1937.6025464289,0.0038642313
2021-05-27,1946.8051408488,0.0047494748
2021-05-28,1948.9033031506,0.0010777464
2021-06-01,1952.9967152012,0.0021003669
2021-06-02,1959.6727379767,0.0034183482
2021-06-03,1942.8272379056,-0.0085960782
2021-06-04,1973.8865111523,0.0159866367
2021-06-07,1981.6159599815,0.0039158527
2021-06-08,1987.8233331056,0.0031324804
2021-06-09,1982.3478306265,-0.0027545217
2021-06-10,2012.9209484368,0.0154226808
2021-06-11,2015.1570845144,0.0011108912
2021-06-14,2032.4421988318,0.0085775518
2021-06-15,2016.4463228584,-0.0078702735
2021-06-16,2009.8380465957,-0.0032771893
2021-06-17,2032.9224886189,0.0114857225
2021-06-18,2007.4061744548,-0.0125515431
2021-06-21,2016.7495635175,0.0046544587
2021-06-22,2032.6628250437,0.0078905491
2021-06-23,2033.9151800385,0.0006161155
2021-06-24,2049.4927338563,0.0076589004
2021-06-25,2044.8423103519,-0.0022690607
2021-06-28,2074.4425562494,0.0144755641
2021-06-29,2082.4775904402,0.0038733462
2021-06-30,2073.0230803537,-0.0045400297
2021-07-01,2059.2521949291,-0.0066429002
2021-07-02,2072.8412097247,0.0065990046
2021-07-06,2092.8935664554,0.0096738509
2021-07-07,2087.8647050345,-0.0024028271
2021-07-08,2073.2873402713,-0.0069819489
2021-07-09,2103.7492940378,0.0146925866
2021-07-12,2107.5008433929,0.0017832683
2021-07-13,2092.3917015563,-0.0071692222
2021-07-14,2083.0213533402,-0.0044782954
2021-07-15,2057.6353685759,-0.0121870977
2021-07-16,2033.7456686834,-0.0116102689
2021-07-19,2034.1258535016,0.0001869382
2021-07-20,2063.3892330419,0.0143862188
2021-07-21,2096.2830775091,0.0159416575
2021-07-22,2112.2382690946,0.0076111818
2021-07-23,2136.5049857737,0.0114886266
2021-07-26,2133.8348586250,-0.0012497641
2021-07-27,2111.0386966852,-0.0106831894
2021-07-28,2135.8478441061,0.0117521045
2021-07-29,2139.6623815777,0.0017859594
2021-07-30,2149.4346631872,0.0045672073
2021-08-02,2153.1731747858,0.0017392999
2021-08-03,2182.3215456929,0.0135374020
2021-08-04,2197.9426493987,0.0071580211
2021-08-05,2209.3962171837,0.0052110403
2021-08-06,2196.5585717310,-0.0058104768
2021-08-09,2193.6370822218,-0.0013300303
2021-08-10,2162.7048025455,-0.0141009103
2021-08-11,2158.5479844078,-0.0019220460
2021-08-12,2157.8700667275,-0.0003140619
2021-08-13,2169.2644626203,0.0052803902
2021-08-16,2161.8226412002,-0.0034305736
2021-08-17,2139.9657880542,-0.0101103822
2021-08-18,2116.8712725576,-0.0107920022
2021-08-19,2140.0990951415,0.0109727138
2021-08-20,2151.4816154340,0.0053186884
2021-08-23,2191.5297001953,0.0186141887
2021-08-24,2218.1969129084,0.0121683100
2021-08-25,2231.8181113506,0.0061406624
2021-08-26,2236.6083123589,0.0021463223
2021-08-27,2262.5196097538,0.0115850850
2021-08-30,2274.5997557467,0.0053392448
2021-08-31,2268.2584647391,-0.0027878711
2021-09-01,2268.8203283912,0.0002477071
2021-09-02,2280.6980414396,0.0052351933
2021-09-03,2293.9413482948,0.0058066902
2021-09-07,2282.5143119845,-0.0049813986
2021-09-08,2259.2311458558,-0.0102006660
2021-09-09,2257.0238348008,-0.0009770187
2021-09-10,2249.6894169587,-0.0032495970
2021-09-13,2252.6513802346,0.0013166099
2021-09-14,2252.6427616469,-0.0000038260
2021-09-15,2268.6028295441,0.0070850417
2021-09-16,2285.8707938262,0.0076117177
2021-09-17,2256.0206354766,-0.0130585501
2021-09-20,2209.3287700287,-0.0206965596
2021-09-21,2210.7177286553,0.0006286790
2021-09-22,2242.0139200946,0.0141565750
2021-09-23,2263.2540483342,0.0094736826
2021-09-24,2256.6044950804,-0.0029380499
2021-09-27,2235.2548697077,-0.0094609514
